season,season_name,num_d1_tms,start_date,selection_sunday_date,end_date
2009,2009-10,347,2009-11-09,2010-03-14,2010-04-05
2010,2010-11,345,2010-11-08,2011-03-13,2011-04-04
2011,2011-12,345,2011-11-07,2012-03-11,2012-04-02
2012,2012-13,347,2012-11-09,2013-03-17,2013-04-08
2013,2013-14,351,2013-11-08,2014-03-16,2014-04-07
2014,2014-15,351,2014-11-14,2015-03-15,2015-04-06
2015,2015-16,351,2015-11-13,2016-03-13,2016-04-04
2016,2016-17,351,2016-11-11,2017-03-12,2017-04-03
2017,2017-18,351,2017-11-10,2018-03-11,2018-04-02
2018,2018-19,353,2018-11-06,2019-03-17,2019-04-08
