team_code,school,market,color
2,Abilene Christian,Abilene Christian,#68278e
5,Akron,Akron,#00285e
6,Alabama A&M,Alabama A&M,#a41e4c
7,Alabama St.,Alabama State,#f19d17
8,Alabama,Alabama,#a32136
9,UAB,UAB,#1E6B52
14,Albany (NY),Albany,#1b2777
17,Alcorn,Alcorn State,#703690
23,American,American University,#cf102d
27,Appalachian St.,Appalachian State,#d6ac00
28,Arizona St.,Arizona State,#8b2346
29,Arizona,Arizona,#003366
30,Arkansas St.,Arkansas State,#BE0F34
31,Arkansas,Arkansas,#BE0F34
32,Little Rock,Arkansas-Little Rock,#6e2639
37,Auburn,Auburn,#f58025
43,Austin Peay,Austin Peay,#C41E3A
47,Ball St.,Ball State,#d90400
48,Charleston So.,Charleston Southern,#11467b
51,Baylor,Baylor,#083a27
61,Bethune-Cookman,Bethune-Cookman,#f5ba00
62,Binghamton,Binghamton,#006a4e
66,Boise St.,Boise State,#005dab
67,Boston College,Boston College,#98002e
68,Boston U.,Boston University,#d90400
71,Bowling Green,Bowling Green,#4f2c1d
72,Bradley,Bradley,#fa143f
77,BYU,BYU,#002255
80,Brown,Brown,#996633
81,Bryant,Bryant University,#a49372
83,Bucknell,Bucknell,#004c8b
86,Buffalo,Buffalo,#041A9B
87,Butler,Butler,#00467f
90,Cal Poly,Cal Poly,#005836
94,CSU Bakersfield,Cal State Bakersfield,#003fa4
96,Fresno St.,Fresno State,#d6083b
97,Cal St. Fullerton,Cal State Fullerton,#003057
99,Long Beach St.,Long Beach State,#efc309
101,CSUN,Cal State Northridge,#c70029
102,Sacramento St.,Sacramento State,#005643
104,UC Santa Barbara,UC Santa Barbara,#0039a6
107,California,California,#00325b
108,UC Davis,UC Davis,#002855
109,UC Irvine,UC Irvine,#002a5c
110,UCLA,UCLA,#0072cf
111,UC Riverside,UC Riverside,#e0ae00
115,Campbell,Campbell,#fa9223
116,Canisius,Canisius,#eaac18
127,Central Conn. St.,Central Connecticut State,#004385
128,UCF,UCF,#bba378
129,Central Mich.,Central Michigan,#630237
136,Chicago St.,Chicago State,#004423
140,Cincinnati,Cincinnati,#141414
141,The Citadel,Citadel,#132e5e
147,Clemson,Clemson,#F66733
148,Cleveland St.,Cleveland State,#004f36
149,Coastal Caro.,Coastal Carolina,#007079
153,Colgate,Colgate,#a50334
156,Colorado St.,Colorado State,#00674e
157,Colorado,Colorado,#000000
158,Columbia,Columbia,#015289
164,UConn,Connecticut,#002a5c
165,Coppin St.,Coppin State,#dfb100
167,Cornell,Cornell,#CC3333
169,Creighton,Creighton,#005CA9
172,Dartmouth,Dartmouth,#00723c
173,Davidson,Davidson,#e51937
175,Dayton,Dayton,#002453
176,DePaul,DePaul,#0059a9
178,Delaware St.,Delaware State,#279fcc
180,Delaware,Delaware,#00539f
183,Denver,Denver,#b6a880
184,Detroit Mercy,Detroit,#003a8a
189,Drake,Drake,#002181
191,Drexel,Drexel,#ecc217
193,Duke,Duke,#00529b
194,Duquesne,Duquesne,#000144
196,East Carolina,East Carolina,#6944a0
198,ETSU,East Tennessee State,#041E42
201,Eastern Ill.,Eastern Illinois,#0084be
202,Eastern Ky.,Eastern Kentucky,#5E213B
204,Eastern Mich.,Eastern Michigan,#007c4e
207,Eastern Wash.,Eastern Washington,#a10022
219,Evansville,Evansville,#532380
220,Fairfield,Fairfield,#e93337
222,Fairleigh Dickinson,Fairleigh Dickinson,#003479
228,Florida A&M,Florida A&M,#006b25
229,Fla. Atlantic,Florida Atlantic,#002D62
231,FIU,Florida International,#c79d1f
234,Florida St.,Florida State,#540115
235,Florida,Florida,#003488
236,Fordham,Fordham,#a90332
244,Furman,Furman,#34327c
248,George Mason,George Mason,#f2aa00
249,George Washington,George Washington,#002147
251,Georgetown,Georgetown,#00275d
253,Ga. Southern,Georgia Southern,#000066
254,Georgia St.,Georgia State,#005dab
255,Georgia Tech,Georgia Tech,#b09465
257,Georgia,Georgia,#CC0000
260,Gonzaga,Gonzaga,#003366
261,Grambling,Grambling State,#be9a02
270,Hampton,Hampton,#0061aa
272,Hartford,Hartford,#ec1a2c
275,Harvard,Harvard,#A41034
277,Hawaii,Hawaii,#004631
283,Hofstra,Hofstra,#f6ba37
285,Holy Cross,Holy Cross,#602d89
287,Houston Baptist,Houston Baptist,#023795
288,Houston,Houston,#CC0000
290,Howard,Howard,#ef3e43
294,Idaho St.,Idaho State,#ff7800
295,Idaho,Idaho,#b58e5b
299,Illinois St.,Illinois State,#ca1134
301,Illinois,Illinois,#e0322a
302,UIC,Illinois-Chicago,#CC3333
305,Indiana St.,Indiana State,#0046ad
306,Indiana,Indiana,#9e1b32
308,Purdue Fort Wayne,IPFW,#015838
310,Iona,Iona,#702e3d
311,Iowa St.,Iowa State,#A71930
312,Iowa,Iowa,#141414
314,Jackson St.,Jackson State,#002654
315,Jacksonville St.,Jacksonville State,#be0f34
316,Jacksonville,Jacksonville,#005239
317,James Madison,James Madison,#484191
327,Kansas St.,Kansas State,#502d7f
328,Kansas,Kansas,#006ab5
331,Kent St.,Kent State,#002664
334,Kentucky,Kentucky,#005DAA
340,La Salle,La Salle,#efc309
342,Lafayette,Lafayette,#98002e
346,Lamar University,Lamar,#ec2a31
352,Lehigh,Lehigh,#653600
355,Liberty,Liberty,#15264e
361,LIU Brooklyn,LIU Brooklyn,#0064ee
363,Longwood,Longwood,#1a5595
365,LSU,LSU,#461d7c
366,Louisiana Tech,Louisiana Tech,#002f8b
367,Louisville,Louisville,#AD0000
368,UMass Lowell,Massachusetts Lowell,#004886
369,Loyola Maryland,Loyola (MD),#a5a6a8
370,Loyola Marymount,Loyola Marymount,#2e3d65
371,Loyola Chicago,Loyola (IL),#eb9f00
380,Maine,Maine,#6696be
381,Manhattan,Manhattan,#00703c
386,Marist,Marist,#d4362a
387,Marquette,Marquette,#003366
388,Marshall,Marshall,#11461b
391,UMBC,UMBC,#bc9300
392,Maryland,Maryland,#e31836
393,UMES,Maryland-Eastern Shore,#8f2532
400,Massachusetts,Massachusetts,#881c1c
402,McNeese,McNeese State,#004988
404,Memphis,Memphis,#002878
406,Mercer,Mercer,#ec751f
414,Miami (OH),Miami (OH),#d51a00
415,Miami (FL),Miami (FL),#005030
416,Michigan St.,Michigan State,#18453B
418,Michigan,Michigan,#003976
419,Middle Tenn.,Middle Tennessee,#0047aa
428,Minnesota,Minnesota,#872434
430,Mississippi St.,Mississippi State,#660000
432,Mississippi Val.,Mississippi Valley State,#004e25
433,Ole Miss,Ole Miss,#002663
434,Missouri,Missouri,#F1B82D
439,Monmouth,Monmouth,#002147
440,Montana St.,Montana State,#0077bc
441,Montana,Montana,#8b2346
444,Morehead St.,Morehead State,#ffc300
446,Morgan St.,Morgan State,#fc5a14
450,Mount St. Mary's,Mount St. Mary's,#122d53
454,Murray St.,Murray State,#002144
456,UNC Asheville,UNC Asheville,#003C77
457,North Carolina,North Carolina,#8db9e5
458,Charlotte,Charlotte,#00693e
459,UNC Greensboro,UNC Greensboro,#003c79
460,UNCW,North Carolina-Wilmington,#192857
463,Nebraska,Nebraska,#e51937
464,Omaha,Nebraska-Omaha,#163e68
465,UNLV,UNLV,#cc092f
466,Nevada,Nevada,#003366
469,New Hampshire,New Hampshire,#002162
471,NJIT,N.J.I.T.,#163e68
472,New Mexico St.,New Mexico State,#882345
473,New Mexico,New Mexico,#be0f34
474,New Orleans,New Orleans,#005ca6
482,Niagara,Niagara,#502d7f
483,Nicholls St.,Nicholls State,#afb7ba
485,Norfolk St.,Norfolk State,#1d8e77
487,North Ala.,North Alabama,#46166b
488,N.C. A&T,North Carolina A&T,#ffb82b
489,N.C. Central,North Carolina Central,#880023
490,NC State,North Carolina State,#cc092f
493,North Dakota St.,North Dakota State,#006633
494,North Dakota,North Dakota,#009A44
497,North Texas,North Texas,#00622e
498,La.-Monroe,Louisiana-Monroe,#660000
500,Northeastern,Northeastern,#000000
501,Northern Ariz.,Northern Arizona,#003b76
502,Northern Colo.,Northern Colorado,#ffb500
503,Northern Ill.,Northern Illinois,#b42836
504,UNI,Northern Iowa,#473282
505,Northern Ky.,Northern Kentucky,#141414
508,Northwestern St.,Northwestern State,#54209e
509,Northwestern,Northwestern,#512698
513,Notre Dame,Notre Dame,#002b5c
514,Oakland,Oakland,#9f8346
518,Ohio St.,Ohio State,#bb0000
519,Ohio,Ohio,#336633
